,Year,Month,soi3m,nino5m,CEI,category,code
2008-11-01,2008,11,1.605575594530098,-0.30350807520902245,-1.9090836697391205,SOI NINA,-2.0
2008-12-01,2008,12,1.5953371696867882,-0.45304183471162474,-2.048379004398413,SOI NINA,-2.0
2009-01-01,2009,1,1.3943096736668386,-0.6371015755859427,-2.0314112492527814,CEI NINA,-3.0
2009-02-01,2009,2,1.3123322685628473,-0.7610955680464566,-2.073427836609304,CEI NINA,-3.0
2009-03-01,2009,3,0.9863775846240967,-0.8418926705715858,-1.8282702551956826,NINO3.4 NINA,-1.0
2009-04-01,2009,4,0.9904203877335164,-0.8092585237955859,-1.7996789115291023,NINO3.4 NINA,-1.0
2009-05-01,2009,5,0.3567174219304568,-0.5730156786562626,-0.9297331005867193,NINO3.4 NINA,-1.0
2009-06-01,2009,6,0.2714215519099776,-0.2558180781088314,-0.5272396300188089,Neutral,0.0
2009-07-01,2009,7,0.06492602830426362,0.07123282762459039,0.006306799320326767,Neutral,0.0
2009-08-01,2009,8,0.14901746616590927,0.3622600495980288,0.21324258343211955,Neutral,0.0
2009-09-01,2009,9,0.22082768652881798,0.578008019950494,0.357180333421676,NINO3.4 NINO,1.0
2009-10-01,2009,10,-0.38021081875525153,0.7551310339738743,1.135341852729126,NINO3.4 NINO,1.0
2009-11-01,2009,11,-0.5664297702037834,1.0113169688096464,1.5777467390134299,NINO3.4 NINO,1.0
2009-12-01,2009,12,-0.9425441215934478,1.289810786586502,2.23235490817995,NINO3.4 NINO,1.0
2010-01-01,2010,1,-0.7991330851657558,1.5101306905452625,2.309263775711018,NINO3.4 NINO,1.0
2010-02-01,2010,2,-0.9486087204244494,1.650993541484193,2.5996022619086423,NINO3.4 NINO,1.0
2010-03-01,2010,3,-0.9559375866605129,1.6553289957660275,2.6112665824265404,NINO3.4 NINO,1.0
2010-04-01,2010,4,-0.10485692150646435,1.4089175396747564,1.5137744611812207,NINO3.4 NINO,1.0
2010-05-01,2010,5,0.7762110867271836,0.9640999303583676,0.18788884363118397,NINO3.4 NINO,1.0
2010-06-01,2010,6,1.2469082381939942,0.4749030344842778,-0.7720052037097165,SOI NINA,-2.0
2010-07-01,2010,7,1.595874725247196,-0.05173642109657984,-1.647611146343776,SOI NINA,-2.0
2010-08-01,2010,8,1.9076481831300842,-0.5978460077249554,-2.50549419085504,CEI NINA,-3.0
2010-09-01,2010,9,2.5853165333756833,-1.093900804008495,-3.6792173373841783,CEI NINA,-3.0
2010-10-01,2010,10,2.4210759746802535,-1.4583154430071925,-3.879391417687446,CEI NINA,-3.0
2010-11-01,2010,11,2.1728011426359557,-1.698736089545378,-3.8715372321813337,CEI NINA,-3.0
2010-12-01,2010,12,2.2610507608534975,-1.8411754693140663,-4.102226230167564,CEI NINA,-3.0
2011-01-01,2011,1,2.23951372659092,-1.885712408754749,-4.1252261353456685,CEI NINA,-3.0
2011-02-01,2011,2,2.4087193012702013,-1.7661326970175604,-4.174851998287762,CEI NINA,-3.0
2011-03-01,2011,3,2.30618665929254,-1.5844377493878838,-3.8906244086804236,CEI NINA,-3.0
2011-04-01,2011,4,2.4468039833218524,-1.3697145227747656,-3.8165185060966182,CEI NINA,-3.0
2011-05-01,2011,5,1.9143546116668084,-1.0956349857212357,-3.009989597388044,CEI NINA,-3.0
2011-06-01,2011,6,1.1873436234997543,-0.7855317649077177,-1.9728753884074721,CEI NINA,-3.0
2011-07-01,2011,7,0.8347790620618898,-0.5980036606079314,-1.4327827226698213,NINO3.4 NINA,-1.0
2011-08-01,2011,8,0.8272471670641207,-0.5387261766090065,-1.3659733436731272,NINO3.4 NINA,-1.0
2011-09-01,2011,9,1.087732886136799,-0.5736462901881576,-1.6613791763249566,CEI NINA,-3.0
2011-10-01,2011,10,0.9281446144947496,-0.7157703641908928,-1.6439149786856424,NINO3.4 NINA,-1.0
2011-11-01,2011,11,1.1853358780663465,-0.9207191120595102,-2.1060549901258567,CEI NINA,-3.0
2011-12-01,2011,12,1.607613340936117,-1.089171217519216,-2.696784558455333,CEI NINA,-3.0
2012-01-01,2012,1,1.6249594800901472,-1.150261709672364,-2.775221189762511,CEI NINA,-3.0
2012-02-01,2012,2,1.3080259861513048,-1.11581455474214,-2.423840540893445,CEI NINA,-3.0
2012-03-01,2012,3,0.7096270548696071,-1.0121577841855136,-1.7217848390551207,NINO3.4 NINA,-1.0
2012-04-01,2012,4,0.2696453853355188,-0.8423656292205156,-1.1120110145560345,NINO3.4 NINA,-1.0
2012-05-01,2012,5,0.1570724080182581,-0.6486890624846743,-0.8057614705029323,NINO3.4 NINA,-1.0
2012-06-01,2012,6,-0.34085864357285744,-0.40243525927638,-0.061576615703522575,Neutral,0.0
2012-07-01,2012,7,-0.2624196266816512,-0.1605169103499222,0.10190271633172901,Neutral,0.0
2012-08-01,2012,8,-0.3520104099277791,0.08794403322003344,0.4399544431478125,Neutral,0.0
2012-09-01,2012,9,-0.005781725961886316,0.2682201049029306,0.2740018308648169,Neutral,0.0
2012-10-01,2012,10,0.16371587938779106,0.388588081055001,0.22487220166720992,Neutral,0.0
2012-11-01,2012,11,0.38749362004500193,0.4059298981823457,0.018436278137343776,Neutral,0.0
2012-12-01,2012,12,0.09178422551085164,0.2682201049029331,0.17643587939208144,Neutral,0.0
2013-01-01,2013,1,-0.07036009709249624,0.02504053291266764,0.09540063000516388,Neutral,0.0
2013-02-01,2013,2,-0.27760277864489974,-0.18172122311017347,0.09588155553472627,Neutral,0.0
2013-03-01,2013,3,0.4344282283699984,-0.3027198107941464,-0.7371480391641447,Neutral,0.0
2013-04-01,2013,4,0.558963310510951,-0.39069011949467847,-0.9496534300056295,Neutral,0.0
2013-05-01,2013,5,1.0516622742443056,-0.40511535828697126,-1.456777632531277,SOI NINA,-2.0
2013-06-01,2013,6,1.243496903021579,-0.3456802214050702,-1.5891771244266493,SOI NINA,-2.0
2013-07-01,2013,7,1.5093333685008263,-0.2905805388050055,-1.799913907305832,SOI NINA,-2.0
2013-08-01,2013,8,1.166766794436712,-0.32825957783623494,-1.4950263722729469,SOI NINA,-2.0
2013-09-01,2013,9,0.6023203979836538,-0.3395317589690075,-0.9418521569526612,Neutral,0.0
2013-10-01,2013,10,0.22123162834498106,-0.3090259261131776,-0.5302575544581587,Neutral,0.0
